Avg. Issue Latency,Count,Location,Line Number,Line,Function,Assembly,Saturated
130.47,12526,(null),0,(null),(null),(null),0
132.48,12291,(null),0,(null),(null),(null),0
126.26,12281,(null),0,(null),(null),(null),0
93.91,12145,/home/ubuntu/rocksdb/util/coding.h,108,"    uint32_t result = *(reinterpret_cast<const unsigned char*>(p));",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldrb w19  [x1],0
100.65,11162,/usr/include/c++/11/bits/atomic_base.h,820,"	return __atomic_load_n(&_M_p, int(__m));",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,ldar x0  [x1],0
150.74,5955,(null),0,(null),(null),(null),0
148.79,5945,(null),0,(null),(null),(null),0
144.87,5850,(null),0,(null),(null),(null),0
107.76,5810,/home/ubuntu/rocksdb/util/coding.h,108,"    uint32_t result = *(reinterpret_cast<const unsigned char*>(p));",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldrb w19  [x1],0
114.95,5306,/usr/include/c++/11/bits/atomic_base.h,820,"	return __atomic_load_n(&_M_p, int(__m));",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,ldar x0  [x1],0
8.66,36267,(null),0,(null),(null),(null),0
13.82,12020,/home/ubuntu/rocksdb/monitoring/perf_context.cc,319,"}  // namespace ROCKSDB_NAMESPACE",__tls_init,ldrb w2  [x1  x0],0
15.42,10284,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,561,"                  : compare_(next->Key(), key_decoded);",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,ldr x3  [x3  #0x10],0
12.79,11912,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,33,"    return user_comparator_->Compare(a, b);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x3  [x3  #0x10],0
12.37,12072,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,32,"    PERF_COUNTER_ADD(user_key_comparison_count, 1);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldrb w0  [x23  x0],0
8.50,17283,(null),0,(null),(null),(null),0
88.74,1605,/usr/include/c++/11/bits/atomic_base.h,820,"	return __atomic_load_n(&_M_p, int(__m));",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,ldar x0  [x0],0
11.84,11873,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,32,"    PERF_COUNTER_ADD(user_key_comparison_count, 1);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x1  [x23  x0],0
11.15,12042,/home/ubuntu/rocksdb/db/memtable.cc,338,"}",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x2  [x1],0
10.63,12364,(null),0,(null),(null),(null),0
10.94,12001,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,32,"    PERF_COUNTER_ADD(user_key_comparison_count, 1);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,str x1  [x23  x0],0
81.47,1484,/usr/include/c++/11/bits/atomic_base.h,820,"	return __atomic_load_n(&_M_p, int(__m));",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,ldar x0  [x0],0
9.71,12099,/home/ubuntu/rocksdb/db/memtable.cc,334,"    const char* prefix_len_key, const KeyComparator::DecodedType& key) const {",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x0  [x4],0
10.39,10206,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,561,"                  : compare_(next->Key(), key_decoded);",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,ldr x3  [x0],0
11.82,8341,/usr/include/c++/11/bits/atomic_base.h,820,"	return __atomic_load_n(&_M_p, int(__m));",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,ldar x19  [x2],0
8.14,12009,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,33,"    return user_comparator_->Compare(a, b);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x3  [x3  #0x20],0
8.13,11973,/home/ubuntu/rocksdb/monitoring/perf_context.cc,319,"}  // namespace ROCKSDB_NAMESPACE",__tls_init,ldr x2  [x0  #0xa38],0
7.80,12217,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,32,"    PERF_COUNTER_ADD(user_key_comparison_count, 1);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x1  [x0  #0xae8],0
7.50,11883,???,0,???,???,???,0
6.77,12508,???,0,???,???,???,0
6.89,12019,/home/ubuntu/rocksdb/db/dbformat.h,328,"  return Slice(internal_key.data(), internal_key.size() - kNumInternalBytes);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldp x2  x1  [x20],0
6.64,12162,/home/ubuntu/rocksdb/db/dbformat.h,1111,"  int r = user_comparator_.Compare(ExtractUserKey(akey), ExtractUserKey(bkey));",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,stp x2  x1  [sp  #0x48],0
102.19,789,/usr/include/c++/11/bits/atomic_base.h,820,"	return __atomic_load_n(&_M_p, int(__m));",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,ldar x0  [x0],0
6.53,12129,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,32,"    PERF_COUNTER_ADD(user_key_comparison_count, 1);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x1  [x0  #0xa88],0
6.40,12338,/home/ubuntu/rocksdb/monitoring/perf_context.cc,172,"thread_local PerfContext perf_context;",__tls_init,ldp x29  x30  [sp]  #0x20,0
13.64,5766,/home/ubuntu/rocksdb/monitoring/perf_context.cc,319,"}  // namespace ROCKSDB_NAMESPACE",__tls_init,ldrb w2  [x1  x0],0
6.45,12112,/home/ubuntu/rocksdb/util/comparator.cc,160,"    return -a.compare(b);",_ZThn32_NK7rocksdb12_GLOBAL__N_122BytewiseComparatorImpl7CompareERKNS_5SliceES4_,stp x19  x20  [sp  #0x10],0
6.13,12229,/home/ubuntu/rocksdb/db/memtable.cc,338,"}",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldp x21  x22  [sp  #0x20],0
6.29,11891,/home/ubuntu/rocksdb/util/coding.h,331,"  uint32_t len = 0;",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,str wzr  [sp  #0x58],0
15.24,4857,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,561,"                  : compare_(next->Key(), key_decoded);",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,ldr x3  [x3  #0x10],0
6.17,11816,/home/ubuntu/rocksdb/db/memtable.cc,338,"}",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldp x29  x30  [sp]  #0x70,0
6.00,12142,/home/ubuntu/rocksdb/db/memtable.cc,334,"    const char* prefix_len_key, const KeyComparator::DecodedType& key) const {",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,stp x23  x24  [sp  #0x30],0
12.66,5702,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,33,"    return user_comparator_->Compare(a, b);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x3  [x3  #0x10],0
5.97,12022,/home/ubuntu/rocksdb/db/memtable.cc,338,"}",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x1  [x1  #0xba8],0
12.33,5778,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,32,"    PERF_COUNTER_ADD(user_key_comparison_count, 1);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldrb w0  [x23  x0],0
5.79,12128,/home/ubuntu/rocksdb/db/memtable.cc,334,"    const char* prefix_len_key, const KeyComparator::DecodedType& key) const {",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,stp x19  x20  [sp  #0x10],0
5.83,11952,/home/ubuntu/rocksdb/util/comparator.cc,160,"    return -a.compare(b);",_ZThn32_NK7rocksdb12_GLOBAL__N_122BytewiseComparatorImpl7CompareERKNS_5SliceES4_,ldp x1  x19  [x2],0
5.80,11962,/home/ubuntu/rocksdb/db/memtable.cc,334,"    const char* prefix_len_key, const KeyComparator::DecodedType& key) const {",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x4  [x4  #0xba8],0
5.75,12006,/home/ubuntu/rocksdb/db/memtable.cc,338,"}",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x3  [sp  #0x68],0
5.54,12202,/home/ubuntu/rocksdb/db/dbformat.h,1111,"  int r = user_comparator_.Compare(ExtractUserKey(akey), ExtractUserKey(bkey));",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,stp x21  x19  [sp  #0x58],0
5.68,11872,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,32,"    PERF_COUNTER_ADD(user_key_comparison_count, 1);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x0  [x0  #0x4e0],0
5.65,11904,/home/ubuntu/rocksdb/db/memtable.cc,338,"}",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldp x19  x20  [sp  #0x10],0
11.61,5751,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,32,"    PERF_COUNTER_ADD(user_key_comparison_count, 1);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x1  [x23  x0],0
5.48,12049,/home/ubuntu/rocksdb/db/memtable.cc,334,"    const char* prefix_len_key, const KeyComparator::DecodedType& key) const {",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,str x0  [sp  #0x68],0
92.88,707,/usr/include/c++/11/bits/atomic_base.h,820,"	return __atomic_load_n(&_M_p, int(__m));",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,ldar x0  [x0],0
5.40,12080,/home/ubuntu/rocksdb/db/memtable.cc,338,"}",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldp x23  x24  [sp  #0x30],0
5.31,12131,/home/ubuntu/rocksdb/util/comparator.cc,160,"    return -a.compare(b);",_ZThn32_NK7rocksdb12_GLOBAL__N_122BytewiseComparatorImpl7CompareERKNS_5SliceES4_,ldp x29  x30  [sp]  #0x20,0
5.29,12114,/home/ubuntu/rocksdb/db/memtable.cc,334,"    const char* prefix_len_key, const KeyComparator::DecodedType& key) const {",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,stp x21  x22  [sp  #0x20],0
11.02,5648,/home/ubuntu/rocksdb/db/memtable.cc,338,"}",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x2  [x1],0
10.30,5918,(null),0,(null),(null),(null),0
5.04,11973,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,33,"    return user_comparator_->Compare(a, b);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x3  [x22  #0x10],0
4.95,12081,/home/ubuntu/rocksdb/util/comparator.cc,160,"    return -a.compare(b);",_ZThn32_NK7rocksdb12_GLOBAL__N_122BytewiseComparatorImpl7CompareERKNS_5SliceES4_,stp x29  x30  [sp  #-0x20]!,0
5.02,11907,/home/ubuntu/rocksdb/util/comparator.cc,160,"    return -a.compare(b);",_ZThn32_NK7rocksdb12_GLOBAL__N_122BytewiseComparatorImpl7CompareERKNS_5SliceES4_,ldp x19  x20  [sp  #0x10],0
4.87,12103,/home/ubuntu/rocksdb/monitoring/perf_context.cc,172,"thread_local PerfContext perf_context;",__tls_init,stp x29  x30  [sp  #-0x20]!,0
4.91,11986,/home/ubuntu/rocksdb/util/comparator.cc,160,"    return -a.compare(b);",_ZThn32_NK7rocksdb12_GLOBAL__N_122BytewiseComparatorImpl7CompareERKNS_5SliceES4_,ldp x0  x20  [x1],0
10.24,5647,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,32,"    PERF_COUNTER_ADD(user_key_comparison_count, 1);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,str x1  [x23  x0],0
9.61,5676,/home/ubuntu/rocksdb/db/memtable.cc,334,"    const char* prefix_len_key, const KeyComparator::DecodedType& key) const {",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x0  [x4],0
4.55,11964,/home/ubuntu/rocksdb/db/memtable.cc,334,"    const char* prefix_len_key, const KeyComparator::DecodedType& key) const {",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,stp x29  x30  [sp  #-0x70]!,0
10.16,4938,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,561,"                  : compare_(next->Key(), key_decoded);",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,ldr x3  [x0],0
4.59,10406,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,561,"                  : compare_(next->Key(), key_decoded);",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,ldr x0  [x27  #0x10],0
11.77,3989,/usr/include/c++/11/bits/atomic_base.h,820,"	return __atomic_load_n(&_M_p, int(__m));",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,ldar x19  [x2],0
8.03,5716,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,33,"    return user_comparator_->Compare(a, b);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x3  [x3  #0x20],0
8.06,5689,/home/ubuntu/rocksdb/monitoring/perf_context.cc,319,"}  // namespace ROCKSDB_NAMESPACE",__tls_init,ldr x2  [x0  #0xa38],0
7.67,5764,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,32,"    PERF_COUNTER_ADD(user_key_comparison_count, 1);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x1  [x0  #0xae8],0
7.48,5679,???,0,???,???,???,0
6.68,5908,???,0,???,???,???,0
6.88,5634,/home/ubuntu/rocksdb/db/dbformat.h,328,"  return Slice(internal_key.data(), internal_key.size() - kNumInternalBytes);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldp x2  x1  [x20],0
6.48,5827,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,32,"    PERF_COUNTER_ADD(user_key_comparison_count, 1);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x1  [x0  #0xa88],0
6.63,5686,/home/ubuntu/rocksdb/db/dbformat.h,1111,"  int r = user_comparator_.Compare(ExtractUserKey(akey), ExtractUserKey(bkey));",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,stp x2  x1  [sp  #0x48],0
6.32,5739,/home/ubuntu/rocksdb/monitoring/perf_context.cc,172,"thread_local PerfContext perf_context;",__tls_init,ldp x29  x30  [sp]  #0x20,0
6.27,5776,/home/ubuntu/rocksdb/util/comparator.cc,160,"    return -a.compare(b);",_ZThn32_NK7rocksdb12_GLOBAL__N_122BytewiseComparatorImpl7CompareERKNS_5SliceES4_,stp x19  x20  [sp  #0x10],0
6.25,5717,/home/ubuntu/rocksdb/util/coding.h,331,"  uint32_t len = 0;",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,str wzr  [sp  #0x58],0
6.11,5770,/home/ubuntu/rocksdb/db/memtable.cc,338,"}",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldp x29  x30  [sp]  #0x70,0
5.91,5887,/home/ubuntu/rocksdb/db/memtable.cc,338,"}",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x1  [x1  #0xba8],0
5.95,5814,/home/ubuntu/rocksdb/db/memtable.cc,334,"    const char* prefix_len_key, const KeyComparator::DecodedType& key) const {",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,stp x23  x24  [sp  #0x30],0
6.04,5687,/home/ubuntu/rocksdb/db/memtable.cc,338,"}",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldp x21  x22  [sp  #0x20],0
5.76,5779,/home/ubuntu/rocksdb/db/memtable.cc,334,"    const char* prefix_len_key, const KeyComparator::DecodedType& key) const {",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x4  [x4  #0xba8],0
5.75,5749,/home/ubuntu/rocksdb/db/memtable.cc,334,"    const char* prefix_len_key, const KeyComparator::DecodedType& key) const {",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,stp x19  x20  [sp  #0x10],0
5.68,5773,/home/ubuntu/rocksdb/util/comparator.cc,160,"    return -a.compare(b);",_ZThn32_NK7rocksdb12_GLOBAL__N_122BytewiseComparatorImpl7CompareERKNS_5SliceES4_,ldp x1  x19  [x2],0
5.51,5873,/home/ubuntu/rocksdb/db/memtable.cc,338,"}",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldp x19  x20  [sp  #0x10],0
5.63,5729,/home/ubuntu/rocksdb/db/memtable.cc,338,"}",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x3  [sp  #0x68],0
5.45,5912,/home/ubuntu/rocksdb/db/memtable.cc,334,"    const char* prefix_len_key, const KeyComparator::DecodedType& key) const {",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,str x0  [sp  #0x68],0
5.65,5672,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,32,"    PERF_COUNTER_ADD(user_key_comparison_count, 1);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x0  [x0  #0x4e0],0
5.49,5821,/home/ubuntu/rocksdb/db/dbformat.h,1111,"  int r = user_comparator_.Compare(ExtractUserKey(akey), ExtractUserKey(bkey));",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,stp x21  x19  [sp  #0x58],0
5.26,5741,/home/ubuntu/rocksdb/db/memtable.cc,338,"}",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldp x23  x24  [sp  #0x30],0
5.26,5733,/home/ubuntu/rocksdb/db/memtable.cc,334,"    const char* prefix_len_key, const KeyComparator::DecodedType& key) const {",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,stp x21  x22  [sp  #0x20],0
5.24,5710,/home/ubuntu/rocksdb/util/comparator.cc,160,"    return -a.compare(b);",_ZThn32_NK7rocksdb12_GLOBAL__N_122BytewiseComparatorImpl7CompareERKNS_5SliceES4_,ldp x29  x30  [sp]  #0x20,0
4.93,5816,/home/ubuntu/rocksdb/util/comparator.cc,160,"    return -a.compare(b);",_ZThn32_NK7rocksdb12_GLOBAL__N_122BytewiseComparatorImpl7CompareERKNS_5SliceES4_,ldp x19  x20  [sp  #0x10],0
5.02,5695,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,33,"    return user_comparator_->Compare(a, b);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x3  [x22  #0x10],0
4.83,5856,/home/ubuntu/rocksdb/monitoring/perf_context.cc,172,"thread_local PerfContext perf_context;",__tls_init,stp x29  x30  [sp  #-0x20]!,0
4.89,5722,/home/ubuntu/rocksdb/util/comparator.cc,160,"    return -a.compare(b);",_ZThn32_NK7rocksdb12_GLOBAL__N_122BytewiseComparatorImpl7CompareERKNS_5SliceES4_,ldp x0  x20  [x1],0
4.82,5765,/home/ubuntu/rocksdb/util/comparator.cc,160,"    return -a.compare(b);",_ZThn32_NK7rocksdb12_GLOBAL__N_122BytewiseComparatorImpl7CompareERKNS_5SliceES4_,stp x29  x30  [sp  #-0x20]!,0
4.50,5718,/home/ubuntu/rocksdb/db/memtable.cc,334,"    const char* prefix_len_key, const KeyComparator::DecodedType& key) const {",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,stp x29  x30  [sp  #-0x70]!,0
15.85,1503,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,529,"  return (n != nullptr) && (compare_(n->Key(), key) < 0);",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,ldr x5  [x5  #0x10],0
4.54,5114,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,561,"                  : compare_(next->Key(), key_decoded);",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,ldr x0  [x27  #0x10],0
8.27,2801,/usr/include/c++/11/bits/atomic_base.h,820,"	return __atomic_load_n(&_M_p, int(__m));",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,ldar x19  [x2],0
14.06,1608,/usr/include/c++/11/bits/atomic_base.h,820,"	return __atomic_load_n(&_M_p, int(__m));",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,ldar x19  [x1],0
57.60,316,/usr/include/c++/11/bits/random.tcc,459,"      result_type __z = _M_x[_M_p++];",_ZNSt23mersenne_twister_engineImLm64ELm312ELm156ELm31ELm13043109905998158313ELm29ELm6148914691236517205ELm17ELm8202884508482404352ELm37ELm18444473444759240704ELm43ELm6364136223846793005EEclEv,ldr x3  [x19  x2  lsl #3],0
10.62,1517,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,529,"  return (n != nullptr) && (compare_(n->Key(), key) < 0);",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,ldr x5  [x0],0
14.12,828,/usr/include/c++/11/bits/atomic_base.h,820,"	return __atomic_load_n(&_M_p, int(__m));",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,ldar x19  [x1],0
8.24,1417,/usr/include/c++/11/bits/atomic_base.h,820,"	return __atomic_load_n(&_M_p, int(__m));",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,ldar x19  [x2],0
15.27,725,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,529,"  return (n != nullptr) && (compare_(n->Key(), key) < 0);",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,ldr x5  [x5  #0x10],0
67.05,150,/usr/include/c++/11/bits/random.tcc,459,"      result_type __z = _M_x[_M_p++];",_ZNSt23mersenne_twister_engineImLm64ELm312ELm156ELm31ELm13043109905998158313ELm29ELm6148914691236517205ELm17ELm8202884508482404352ELm37ELm18444473444759240704ELm43ELm6364136223846793005EEclEv,ldr x3  [x19  x2  lsl #3],0
30.30,302,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,534,"InlineSkipList<Comparator>::FindGreaterOrEqual(",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,stp x21  x22  [sp  #0x20],0
24.75,326,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,534,"InlineSkipList<Comparator>::FindGreaterOrEqual(",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,stp x19  x20  [sp  #0x10],0
10.29,732,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,529,"  return (n != nullptr) && (compare_(n->Key(), key) < 0);",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,ldr x5  [x0],0
21.36,351,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,534,"InlineSkipList<Comparator>::FindGreaterOrEqual(",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,stp x29  x30  [sp  #-0x80]!,0
24.63,293,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,534,"InlineSkipList<Comparator>::FindGreaterOrEqual(",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,stp x23  x24  [sp  #0x30],0
4.62,1524,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,529,"  return (n != nullptr) && (compare_(n->Key(), key) < 0);",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,ldr x0  [x28  #0x10],0
38.72,169,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,534,"InlineSkipList<Comparator>::FindGreaterOrEqual(",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,stp x21  x22  [sp  #0x20],0
15.38,405,/usr/include/c++/11/bits/random.tcc,455,"      if (_M_p >= state_size)",_ZNSt23mersenne_twister_engineImLm64ELm312ELm156ELm31ELm13043109905998158313ELm29ELm6148914691236517205ELm17ELm8202884508482404352ELm37ELm18444473444759240704ELm43ELm6364136223846793005EEclEv,ldr x2  [x0  #0x9c0],0
20.99,288,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,322,"    table_->Get(lookup_key, &verify_args, callback);",_ZN7rocksdb19ReadBenchmarkThread7ReadOneEv,ldr x4  [x2  #0x60],0
17.57,333,/usr/include/c++/11/bits/basic_string.h,191,"      { _M_string_length = __length; }",_ZN7rocksdb12_GLOBAL__N_111SkipListRep3GetERKNS_9LookupKeyEPvPFbS5_PKcE,str xzr  [sp  #0x70],0
12.37,461,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,912,"    FindSpliceForLevel<true>(key, splice->prev_[i + 1], splice->next_[i + 1], i,",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,ldr x23  [x1  x0],0
