Avg Exec Latency,Count,Saturated,Location,Line,Function,Assembly
4.00,2,0,/home/ubuntu/hotline_c/hotline.c:843,???,process_aux_record,ldrh w4  [x19  #0x1c]
4.00,2,0,/home/ubuntu/hotline_c/hotline.c:865,???,process_aux_record,ldr x2  [x20  #0x18]
2.00,4,0,/home/ubuntu/hotline_c/btree.c:212,???,btree_node_bsearch,stp x23  x24  [sp  #0x30]
4.00,2,0,/home/ubuntu/hotline_c/btree.c:230,???,btree_node_bsearch,ldr x25  [sp  #0x40]
4.00,2,0,/home/ubuntu/hotline_c/btree.c:628,???,btree_get0,ldr x3  [x3  #0xcd0]
4.00,2,0,/home/ubuntu/hotline_c/btree.c:628,???,btree_get0,ldr x0  [x3]
8.00,1,0,/home/ubuntu/hotline_c/btree.c:537,???,btree_node_set,ldr x26  [x25  #0x10]
8.00,1,0,/home/ubuntu/hotline_c/btree.c:625,???,btree_set0,ldr x0  [x0  #0xcd0]
8.00,1,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/slice/mod.rs:740,???,_ZN4core5slice29_$LT$impl$u20$$u5b$T$u5d$$GT$15copy_from_slice17hb06e0314457cdbdbE,str x9  [sp  #0x50]
4.00,2,0,/home/ubuntu/src/records/read.rs:267,???,_ZN15perf_event_data7records4read10GroupEntry3new17hd42367257250e901E,ldr x11  [sp  #0x30]
4.00,2,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/ub_checks.rs:0,???,_ZN4core5slice3raw14from_raw_parts18precondition_check17hff82b08b3d74beadE,ldr x8  [sp  #0x20]
4.00,2,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/slice/raw.rs:0,???,_ZN4core5slice3raw14from_raw_parts18precondition_check17hff82b08b3d74beadE,ldr x9  [sp  #0x10]
8.00,1,0,/home/ubuntu/aperf:0xe3c914,(null),_ZN5alloc7raw_vec20RawVecInner$LT$A$GT$15try_allocate_in17h3224d982ad3690b3E,stp x20  x19  [sp  #0x20]
7.00,1,0,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:4702,???,???,ldp x23  x24  [sp  #0x30]
7.00,1,0,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:3184,???,???,str x5  [x1  #0x80]
7.00,1,0,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:4413,???,???,ldp x25  x26  [sp  #0x40]
7.00,1,0,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:3347,???,???,ldp x19  x20  [sp  #0x10]
7.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xbfe3f4,(null),???,???
7.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x19f68ac,(null),_ZNSt6vectorIS_IhSaIhEESaIS1_EE17_M_realloc_insertIJmEEEvN9__gnu_cxx17__normal_iteratorIPS1_S3_EEDpOT_,bl #0xdd0670
7.00,1,0,/home/ubuntu/library/alloc/src/raw_vec/mod.rs:788,???,_ZN5alloc7raw_vec11finish_grow17hb0b5996b365e6f3dE,ldp x29  x30  [sp]  #0x30
7.00,1,0,/home/ubuntu/hotline_c/hotline.c:583,???,process_record_buffer,ldr x24  [x0  #0x18]
7.00,1,0,/home/ubuntu/hotline_c/hotline.c:675,???,process_record_buffer,ldr x1  [x1  #0x9e0]
7.00,1,0,/home/ubuntu/hotline_c/hotline.c:708,???,process_record_buffer,ldp x19  x20  [sp  #0x10]
7.00,1,0,/home/ubuntu/hotline_c/hotline.c:773,???,process_aux_record,ldr x0  [x4]
7.00,1,0,/home/ubuntu/hotline_c/hotline.c:899,???,process_aux_record,ldr x2  [x1]
7.00,1,0,/home/ubuntu/hotline_c/btree.c:136,???,btree_get0,ldr x2  [x21  #0x68]
7.00,1,0,/home/ubuntu/hotline_c/btree.c:559,???,btree_node_set,ldr x2  [x1]
7.00,1,0,/home/ubuntu/hotline_c/btree.c:150,???,btree_node_set,ldp x25  x26  [sp  #0x40]
7.00,1,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/ub_checks.rs:66,???,_ZN4core10intrinsics19copy_nonoverlapping18precondition_check17h5f628d6c4834a8bbE,str x0  [x9  #0x30]
7.00,1,0,/home/ubuntu/library/alloc/src/raw_vec/mod.rs:517,???,_ZN58_$LT$alloc..string..String$u20$as$u20$core..fmt..Write$GT$9write_str17h0b1c80040eecbc3cE,ldr x8  [x0]
6.00,1,0,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:4583,???,???,ldp x27  x28  [sp  #0x50]
2.00,3,0,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/multiarch/memcpy_advsimd.S:126,???,???,stp q2  q3  [x5  #-0x20]
2.00,3,0,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/multiarch/memcpy_advsimd.S:174,???,???,stp q2  q3  [x3  #0x30]
6.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xbf29d4,(null),???,???
6.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x1afe11c,(null),_ZN2v88internal4wasm7fuzzing24GenerateRandomWasmModuleILNS2_27WasmModuleGenerationOptionsE0EEENS_4base6VectorIhEEPNS0_4ZoneENS6_IKhEE,add x0  sp  #0x4d0
6.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x221f430,(null),_ZN3ada6parser14parse_url_implINS_3urlELb1EEET_St17basic_string_viewIcSt11char_traitsIcEEPKS3_,movz w1  #0x2f
6.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x2457314,(null),_ZN6icu_7613LocaleBuilder10setVariantENS_11StringPieceE,ldp x21  x22  [sp  #0x20]
2.00,3,0,/home/ubuntu/hotline_c/hotline.c:265,???,add_global_filename,stp x23  x24  [sp  #0x30]
6.00,1,0,/home/ubuntu/hotline_c/hotline.c:389,???,pc_to_file_offset,ldr x4  [x4  x6  lsl #3]
2.00,3,0,/home/ubuntu/hotline_c/hotline.c:528,???,parse_spe_record,str x2  [x1  #8]
2.00,3,0,/home/ubuntu/hotline_c/hotline.c:582,???,process_record_buffer,str x3  [x29  #0x78]
6.00,1,0,/home/ubuntu/hotline_c/hotline.c:896,???,process_aux_record,ldp x21  x22  [sp  #0x20]
2.00,3,0,/home/ubuntu/hotline_c/btree.c:212,???,btree_node_bsearch,stp x29  x30  [sp  #-0x50]!
6.00,1,0,/home/ubuntu/hotline_c/btree.c:230,???,btree_node_bsearch,ldp x19  x20  [sp  #0x10]
6.00,1,0,/home/ubuntu/src/lib.rs:0,???,_ZN4core10intrinsics19copy_nonoverlapping18precondition_check17h5f628d6c4834a8bbE,ldr x0  [sp  #0x18]
2.00,3,0,/home/ubuntu/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bitflags-2.4.0/src/lib.rs:633,???,_ZN15perf_event_data5flags1_16InternalBitFlags4bits17h9541c8b4a3847528E,str x8  [sp  #8]
6.00,1,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/ptr/mod.rs:523,???,_ZN4core3ptr46drop_in_place$LT$alloc..vec..Vec$LT$u8$GT$$GT$17h86d9e692c8153ff8E,ldr x30  [sp  #0x20]
2.00,3,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/num/uint_macros.rs:795,???,_ZN91_$LT$core..slice..iter..Iter$LT$T$GT$$u20$as$u20$core..iter..traits..iterator..Iterator$GT$4next17h7b906c1c9f7b29edE,str x8  [sp  #0x40]
